conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider,,,
COMPONENT_TYPE:1,Porch ,,COMPONENT_TYPE_AUTHORITY_DOCUMENT.csv,Collector,LASHPO-LHRI,,,
COMPONENT_TYPE:2,Porch - Stoop,stoop,COMPONENT_TYPE:1,Index,LASHPO-LHRI,,,
COMPONENT_TYPE:3,Porch - Verandah ,verandah ,COMPONENT_TYPE:1,Index,LASHPO-LHRI,,,
COMPONENT_TYPE:4,Porch - Gallery ,gallery ,COMPONENT_TYPE:1,Index,LASHPO-LHRI,,,
COMPONENT_TYPE:5,Porch - Portico ,portico ,COMPONENT_TYPE:1,Index,LASHPO-LHRI,,,
COMPONENT_TYPE:6,Porch - Balcony ,balcony ,COMPONENT_TYPE:1,Index,LASHPO-LHRI,,,
COMPONENT_TYPE:7,Porch - Loggia ,loggia ,COMPONENT_TYPE:1,Index,LASHPO-LHRI,,,
COMPONENT_TYPE:8,Porch - Porte-Cochere,porte-cochere,COMPONENT_TYPE:1,Index,LASHPO-LHRI,,,
COMPONENT_TYPE:9,Porch - Full Width ,full width ,COMPONENT_TYPE:1,Index,LASHPO-LHRI,,,
COMPONENT_TYPE:10,Porch - Partial Width ,partial width ,COMPONENT_TYPE:1,Index,LASHPO-LHRI,,,
COMPONENT_TYPE:11,Porch - Attached ,attached ,COMPONENT_TYPE:1,Index,LASHPO-LHRI,,,
COMPONENT_TYPE:12,Porch - Intergrated ,intergrated ,COMPONENT_TYPE:1,Index,LASHPO-LHRI,,,
COMPONENT_TYPE:13,Porch - Wrap ,wrap ,COMPONENT_TYPE:1,Index,LASHPO-LHRI,,,
COMPONENT_TYPE:14,Porch - Peripteral ,peripteral ,COMPONENT_TYPE:1,Index,LASHPO-LHRI,,,
COMPONENT_TYPE:15,Porch - Screened ,screened ,COMPONENT_TYPE:1,Index,LASHPO-LHRI,,,
COMPONENT_TYPE:16,Porch - Enclosed ,enclosed ,COMPONENT_TYPE:1,Index,LASHPO-LHRI,,,
COMPONENT_TYPE:17,Porch - Unknown ,unknown ,COMPONENT_TYPE:1,Index,LASHPO-LHRI,,,
COMPONENT_TYPE:18,Porch - Other (see narrative),other,COMPONENT_TYPE:1,Index,LASHPO-LHRI,,,
COMPONENT_TYPE:19,Door,,COMPONENT_TYPE_AUTHORITY_DOCUMENT.csv,Collector,LASHPO-LHRI,,,
COMPONENT_TYPE:20,Door - Batten ,batten ,COMPONENT_TYPE:19,Index,LASHPO-LHRI,,,
COMPONENT_TYPE:21,Door - French ,french ,COMPONENT_TYPE:19,Index,LASHPO-LHRI,,,
COMPONENT_TYPE:22,Door - Panel ,panel ,COMPONENT_TYPE:19,Index,LASHPO-LHRI,,,
COMPONENT_TYPE:23,Door - Flush ,flush ,COMPONENT_TYPE:19,Index,LASHPO-LHRI,,,
COMPONENT_TYPE:24,Door - Glazed ,glazed ,COMPONENT_TYPE:19,Index,LASHPO-LHRI,,,
COMPONENT_TYPE:25,Door - Partially Glazed ,partially glazed ,COMPONENT_TYPE:19,Index,LASHPO-LHRI,,,
COMPONENT_TYPE:26,Door - Fanlight,fanlight,COMPONENT_TYPE:19,Index,LASHPO-LHRI,,,
COMPONENT_TYPE:27,Door - Sidelights,sidelights,COMPONENT_TYPE:19,Index,LASHPO-LHRI,,,
COMPONENT_TYPE:28,Door - Transom,transom,COMPONENT_TYPE:19,Index,LASHPO-LHRI,,,
COMPONENT_TYPE:29,Door - Screened,screened,COMPONENT_TYPE:19,Index,LASHPO-LHRI,,,
COMPONENT_TYPE:30,Door - Replacment,replacment,COMPONENT_TYPE:19,Index,LASHPO-LHRI,,,
COMPONENT_TYPE:31,Door - Unknown ,unknown ,COMPONENT_TYPE:19,Index,LASHPO-LHRI,,,
COMPONENT_TYPE:32,Door - Federal ,Federal ,COMPONENT_TYPE:19,Index,LASHPO-LHRI,,,
COMPONENT_TYPE:33,Door - Greek Revival ,Greek Revival ,COMPONENT_TYPE:19,Index,LASHPO-LHRI,,,
COMPONENT_TYPE:34,Door - Queen Anne,Queen Anne,COMPONENT_TYPE:19,Index,LASHPO-LHRI,,,
